,index,tweet_id,tweet_content
0,633,1277088861412192257,A “face mask exempt card” allows you to cite the ADA and not wear a mask. https://t.co/oxzOaze3rF
1,633,1276723310798213124,"People actually #believe that there is such a #thing as ""Freedom to Breathe Agency""?? #REALLY??
🙄🙄🙄😖😖😖

This is, of course
#FALSE!
👇👇👇

A “face mask exempt card” allows you to cite the ADA and not wear a mask.

https://t.co/equnx7dx5G"
2,637,1278234248433078273,"@MiddleMolly @juantinabroad @newsjunky2 @mgs_life @like_argue @ArthurSchwartz @JoeBiden that's not fair, he only said name ONE.

let's start with something from this year so he doesn't have to go back too far.
how about “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”"
3,637,1275801200278020097,"“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church,” President Trump said.

Those claims do not align with statements from Biden or other leading Democrats. https://t.co/ewDegfq8RV"
4,637,1275575312894636034,"“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”
- @RealDonaldTrump
https://t.co/upoiFgX60r"
5,637,1275552336195121153,"⁦@realDonaldTrump⁩ You lie! Everything you say is a lie!!
Trump: “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.” Rated False by PolitiFact – Via FactStream https://t.co/uOvDtAMcq1"
6,637,1275114312407740416,"“Joe Biden and the democrats want to prosecute Americans for going to Church, but not for burning a Church.”—Prez Trump in Tulsa"
7,637,1274569102040784897,"“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”
—@realDonaldTrump"
10,637,1274518429228285952,"Pres. Trump: “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.” https://t.co/gj10BoPOfo"
12,637,1274514700794056707,"@DNCWarRoom TRUMP: “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”"
13,637,1274513613546545153,"""Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church.""

Live: Trump holds 'Make America Great Again!' rally in Tulsa https://t.co/DFuX73OQrZ via @YouTube"
14,637,1274513581489491974,"President Trump's most withering attack on Biden tonight:

""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church. They want to punish your thought, but not violent crime."" https://t.co/sz2Vm2fspV"
15,637,1274513386999623682,"@POTUS @realDonaldTrump: ""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.""

#TrumpRally2020 #TulsaRally"
18,637,1274512559765405697,"TRUMP: “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”

“They believe you can riot, vandalize, and destroy, but you cannot attend a peaceful, pro-America rally.” https://t.co/BKyr9E4WPw"
20,637,1274511197170208769,"""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church."" https://t.co/fIpPMhyvrV"
21,637,1274510769208492032,"""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.""--Trump rally"
22,637,1274510293666680832,"Trump: Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church… They want to punish your thought, but not their violent crime.



[None of that is true]

#TulsaTrumpRally #TrumpRally #TrumpsCoronavirusRally #Tulsa"
24,637,1274510204126797825,“Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church!” -@realDonaldTrump
25,637,1274510092449218560,"""Joe Biden and the democrats want to prosecute Americans for going to church but not for burning a church...""-Trump. This is too absurd to dignify with analysis."
26,637,1274510062015221760,'Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church.' This is really a crazed speech.
27,637,1274510046588809217,"Trump says “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”"
28,643,1277744752092491776,"@GSgt0317 @davidmweissman @Jim_Jordan Do you think that if we ""stopped testing right now we'd have very few cases, if any""?
do you think DC mayor Bowser ""wouldn't let the police get involved"" in protests outside the white house?
Do you think ""Twitter is stifling free speech""?"
29,643,1277283295521316867,"@realDonaldTrump And you said ""nobody ever heard of juneteenth""; ""if we stopped testing right now, we'd have very few cases, if any""; ""we've tested more than every country combined"". 23.3 lies per day in 2020."
30,643,1277282643718127616,"“If we stopped testing right now, we’d have very few cases, if any.” - the biggest brain in the world https://t.co/InWQLttgyV"
31,643,1277281044547293186,"“If we stopped testing right now, we’d have very few cases, if any.” 

You are the epitome of a low IQ person. 
No empathy.
Inability to have conversation.
Can’t tell the truth to save your life...

Don’t forget preying on children. https://t.co/aMMzxzUsC0"
32,643,1276925152509427715,"Trump on coronavirus testing: ‘If we stopped testing right now, we’d have very few cases, if any’ https://t.co/3yLCu1QVyU via @YahooNews 🔥Youll b AMAZED how many couldn’t pick up on what he meant bcus of never missing an opportunity 2call a BILLIONAIRE crazy! The joke is onTHEM!"
33,643,1276920264249364486,"“We have it totally under control” “Today I am instructing my administration to halt funding of the World Health Organization”.              ”If we stopped testing right now, we’d have very few cases, if any.” https://t.co/8tPPO01xZU"
34,643,1276844506013458432,"@Aselly22 @NotonMy06517619 @parscale OMG! 
I gave you 5  off the top of my head, and you choose to make excuses for every single one of them. 
During a round table discussion:
6/15/20: if we stopped testing right now we’d have very few cases if any. 

BOLD FACE LIE!"
35,643,1276711189712703488,"@Creepyjoe10 @Gammiex4MMC @DrTedros @WHO https://t.co/5AsfqJ6DN0

There you go.

“If we stopped testing right now, we'd have very few cases, if any.” - actually said by Donald Trump.

He's said it repeatedly, as well."
36,643,1276634056801820673,"@DonaldJTrumpJr Sure. And the idea of “If we stopped testing right now, we’d have very few cases, if any"" is *such* an indication of mental acuity.

https://t.co/Dpo6aYKewW"
